Village_Name,State_Name,District_Name,Block_Name,Pincode,Input_Parameter1,Input_Parameter2,Input_Parameter3,Input_Parameter4,Input_Parameter0
Okaraha,Jharkhand,PALAMU,CHHATARPUR,822113.0,"OKARAHA,Jharkhand","OKARAHA,PALAMU,Jharkhand","OKARAHA,CHHATARPUR,Jharkhand","OKARAHA,CHHATARPUR,PALAMU,Jharkhand","OKARAHA,Jharkhand,822113.0"
Orajhar,Uttar Pradesh,BALRAMPUR,TULSIPUR,271208.0,"ORAJHAR,Uttar Pradesh","ORAJHAR,BALRAMPUR,Uttar Pradesh","ORAJHAR,TULSIPUR,Uttar Pradesh","ORAJHAR,TULSIPUR,BALRAMPUR,Uttar Pradesh","ORAJHAR,Uttar Pradesh,271208.0"
Oriya Kala,Jharkhand,PALAMU,LESLIGANJ,822118.0,"ORIYA KALA,Jharkhand","ORIYA KALA,PALAMU,Jharkhand","ORIYA KALA,LESLIGANJ,Jharkhand","ORIYA KALA,LESLIGANJ,PALAMU,Jharkhand","ORIYA KALA,Jharkhand,822118.0"
Ovari Deeh,Uttar Pradesh,BALRAMPUR,REHRA BAZAR,271307.0,"OVARI DEEH,Uttar Pradesh","OVARI DEEH,BALRAMPUR,Uttar Pradesh","OVARI DEEH,REHRA BAZAR,Uttar Pradesh","OVARI DEEH,REHRA BAZAR,BALRAMPUR,Uttar Pradesh","OVARI DEEH,Uttar Pradesh,271307.0"
Pachapakari Kala,Uttar Pradesh,BALRAMPUR,TULSIPUR,271208.0,"PACHAPAKARI KALA,Uttar Pradesh","PACHAPAKARI KALA,BALRAMPUR,Uttar Pradesh","PACHAPAKARI KALA,TULSIPUR,Uttar Pradesh","PACHAPAKARI KALA,TULSIPUR,BALRAMPUR,Uttar Pradesh","PACHAPAKARI KALA,Uttar Pradesh,271208.0"
Pachharwa,Bihar,SITAMARHI,MAJORGANJ,843332.0,"PACHHARWA,Bihar","PACHHARWA,SITAMARHI,Bihar","PACHHARWA,MAJORGANJ,Bihar","PACHHARWA,MAJORGANJ,SITAMARHI,Bihar","PACHHARWA,Bihar,843332.0"
Padampur,Jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,814114.0,"PADAMPUR,Jharkhand","PADAMPUR,PASHCHIMI SINGHBHUM,Jharkhand","PADAMPUR,CHAKRADHARPUR,Jharkhand","PADAMPUR,CHAKRADHARPUR,PASHCHIMI SINGHBHUM,Jharkhand","PADAMPUR,Jharkhand,814114.0"
Pakaria,Jharkhand,PALAMU,PANKI,845459.0,"PAKARIA,Jharkhand","PAKARIA,PALAMU,Jharkhand","PAKARIA,PANKI,Jharkhand","PAKARIA,PANKI,PALAMU,Jharkhand","PAKARIA,Jharkhand,845459.0"
Pakri,Bihar,PASHCHIM CHAMPARAN,LAURIYA,845106.0,"PAKRI,Bihar","PAKRI,PASHCHIM CHAMPARAN,Bihar","PAKRI,LAURIYA,Bihar","PAKRI,LAURIYA,PASHCHIM CHAMPARAN,Bihar","PAKRI,Bihar,845106.0"
Pakri Jeetpur,Uttar Pradesh,BALRAMPUR,PACHPERWA,271206.0,"PAKRI JEETPUR,Uttar Pradesh","PAKRI JEETPUR,BALRAMPUR,Uttar Pradesh","PAKRI JEETPUR,PACHPERWA,Uttar Pradesh","PAKRI JEETPUR,PACHPERWA,BALRAMPUR,Uttar Pradesh","PAKRI JEETPUR,Uttar Pradesh,271206.0"
Pakrihar,Bihar,PASHCHIM CHAMPARAN,CHANPATIA,845449.0,"PAKRIHAR,Bihar","PAKRIHAR,PASHCHIM CHAMPARAN,Bihar","PAKRIHAR,CHANPATIA,Bihar","PAKRIHAR,CHANPATIA,PASHCHIM CHAMPARAN,Bihar","PAKRIHAR,Bihar,845449.0"
Palam,Odisha,KALAHANDI,NARLA,766101.0,"PALAM,Odisha","PALAM,KALAHANDI,Odisha","PALAM,NARLA,Odisha","PALAM,NARLA,KALAHANDI,Odisha","PALAM,Odisha,766101.0"
Palma,Jharkhand,DEOGHAR,SARATH,815351.0,"PALMA,Jharkhand","PALMA,DEOGHAR,Jharkhand","PALMA,SARATH,Jharkhand","PALMA,SARATH,DEOGHAR,Jharkhand","PALMA,Jharkhand,815351.0"
Palwa,Jharkhand,PALAMU,CHHATARPUR,822113.0,"PALWA,Jharkhand","PALWA,PALAMU,Jharkhand","PALWA,CHHATARPUR,Jharkhand","PALWA,CHHATARPUR,PALAMU,Jharkhand","PALWA,Jharkhand,822113.0"
Pandaul,Bihar,SITAMARHI,NANPUR,843331.0,"PANDAUL,Bihar","PANDAUL,SITAMARHI,Bihar","PANDAUL,NANPUR,Bihar","PANDAUL,NANPUR,SITAMARHI,Bihar","PANDAUL,Bihar,843331.0"
Pandra,Odisha,MAYURBHANJ,SARASKANA,757031.0,"PANDRA,Odisha","PANDRA,MAYURBHANJ,Odisha","PANDRA,SARASKANA,Odisha","PANDRA,SARASKANA,MAYURBHANJ,Odisha","PANDRA,Odisha,757031.0"
Panduwa,Jharkhand,PASHCHIMI SINGHBHUM,GUDRI,833104.0,"PANDUWA,Jharkhand","PANDUWA,PASHCHIMI SINGHBHUM,Jharkhand","PANDUWA,GUDRI,Jharkhand","PANDUWA,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand","PANDUWA,Jharkhand,833104.0"
Panga,Jharkhand,PASHCHIMI SINGHBHUM,MANJHARI,833214.0,"PANGA,Jharkhand","PANGA,PASHCHIMI SINGHBHUM,Jharkhand","PANGA,MANJHARI,Jharkhand","PANGA,MANJHARI,PASHCHIMI SINGHBHUM,Jharkhand","PANGA,Jharkhand,833214.0"
Pangaleleri,Odisha,RAYAGADA,RAYAGADA,765017.0,"PANGALELERI,Odisha","PANGALELERI,RAYAGADA,Odisha","PANGALELERI,RAYAGADA,Odisha","PANGALELERI,RAYAGADA,RAYAGADA,Odisha","PANGALELERI,Odisha,765017.0"
Panti,Jharkhand,PALAMU,HAIDARNAGAR,822115.0,"PANTI,Jharkhand","PANTI,PALAMU,Jharkhand","PANTI,HAIDARNAGAR,Jharkhand","PANTI,HAIDARNAGAR,PALAMU,Jharkhand","PANTI,Jharkhand,822115.0"
Parachipara,Odisha,NABARANGPUR,RAIGHAR,764088.0,"PARACHIPARA,Odisha","PARACHIPARA,NABARANGPUR,Odisha","PARACHIPARA,RAIGHAR,Odisha","PARACHIPARA,RAIGHAR,NABARANGPUR,Odisha","PARACHIPARA,Odisha,764088.0"
Paraspur Karaunda,Uttar Pradesh,BALRAMPUR,TULSIPUR,271205.0,"PARASPUR KARAUNDA,Uttar Pradesh","PARASPUR KARAUNDA,BALRAMPUR,Uttar Pradesh","PARASPUR KARAUNDA,TULSIPUR,Uttar Pradesh","PARASPUR KARAUNDA,TULSIPUR,BALRAMPUR,Uttar Pradesh","PARASPUR KARAUNDA,Uttar Pradesh,271205.0"
Parsa,Uttar Pradesh,BALRAMPUR,BALRAMPUR,845101.0,"PARSA,Uttar Pradesh","PARSA,BALRAMPUR,Uttar Pradesh","PARSA,BALRAMPUR,Uttar Pradesh","PARSA,BALRAMPUR,BALRAMPUR,Uttar Pradesh","PARSA,Uttar Pradesh,845101.0"
Parsauni,Bihar,PASHCHIM CHAMPARAN,MAINATAND,845107.0,"PARSAUNI,Bihar","PARSAUNI,PASHCHIM CHAMPARAN,Bihar","PARSAUNI,MAINATAND,Bihar","PARSAUNI,MAINATAND,PASHCHIM CHAMPARAN,Bihar","PARSAUNI,Bihar,845107.0"
Parsi,Jharkhand,PASHCHIMI SINGHBHUM,MANJHARI,845455.0,"PARSI,Jharkhand","PARSI,PASHCHIMI SINGHBHUM,Jharkhand","PARSI,MANJHARI,Jharkhand","PARSI,MANJHARI,PASHCHIMI SINGHBHUM,Jharkhand","PARSI,Jharkhand,845455.0"
Parsiya,Jharkhand,PALAMU,PANKI,815353.0,"PARSIYA,Jharkhand","PARSIYA,PALAMU,Jharkhand","PARSIYA,PANKI,Jharkhand","PARSIYA,PANKI,PALAMU,Jharkhand","PARSIYA,Jharkhand,815353.0"
Parulia,Odisha,MAYURBHANJ,RASGOVINDPUR,757016.0,"PARULIA,Odisha","PARULIA,MAYURBHANJ,Odisha","PARULIA,RASGOVINDPUR,Odisha","PARULIA,RASGOVINDPUR,MAYURBHANJ,Odisha","PARULIA,Odisha,757016.0"
Patahatu,Jharkhand,PASHCHIMI SINGHBHUM,KHUNTPANI,833105.0,"PATAHATU,Jharkhand","PATAHATU,PASHCHIMI SINGHBHUM,Jharkhand","PATAHATU,KHUNTPANI,Jharkhand","PATAHATU,KHUNTPANI,PASHCHIMI SINGHBHUM,Jharkhand","PATAHATU,Jharkhand,833105.0"
Pataniya,Jharkhand,PASHCHIMI SINGHBHUM,GOELKERA,833104.0,"PATANIYA,Jharkhand","PATANIYA,PASHCHIMI SINGHBHUM,Jharkhand","PATANIYA,GOELKERA,Jharkhand","PATANIYA,GOELKERA,PASHCHIMI SINGHBHUM,Jharkhand","PATANIYA,Jharkhand,833104.0"
Patarhatu,Jharkhand,PASHCHIMI SINGHBHUM,KUMARDUNGI,833214.0,"PATARHATU,Jharkhand","PATARHATU,PASHCHIMI SINGHBHUM,Jharkhand","PATARHATU,KUMARDUNGI,Jharkhand","PATARHATU,KUMARDUNGI,PASHCHIMI SINGHBHUM,Jharkhand","PATARHATU,Jharkhand,833214.0"
Pataria,Jharkhand,PALAMU,HAIDARNAGAR,822115.0,"PATARIA,Jharkhand","PATARIA,PALAMU,Jharkhand","PATARIA,HAIDARNAGAR,Jharkhand","PATARIA,HAIDARNAGAR,PALAMU,Jharkhand","PATARIA,Jharkhand,822115.0"
Patarkha Naurangia,Bihar,PASHCHIM CHAMPARAN,CHANPATIA,845450.0,"PATARKHA NAURANGIA,Bihar","PATARKHA NAURANGIA,PASHCHIM CHAMPARAN,Bihar","PATARKHA NAURANGIA,CHANPATIA,Bihar","PATARKHA NAURANGIA,CHANPATIA,PASHCHIM CHAMPARAN,Bihar","PATARKHA NAURANGIA,Bihar,845450.0"
Pathorlosa,Odisha,NABARANGPUR,NANDAHANDI,764069.0,"PATHORLOSA,Odisha","PATHORLOSA,NABARANGPUR,Odisha","PATHORLOSA,NANDAHANDI,Odisha","PATHORLOSA,NANDAHANDI,NABARANGPUR,Odisha","PATHORLOSA,Odisha,764069.0"
Patohakot,Uttar Pradesh,BALRAMPUR,TULSIPUR,271208.0,"PATOHAKOT,Uttar Pradesh","PATOHAKOT,BALRAMPUR,Uttar Pradesh","PATOHAKOT,TULSIPUR,Uttar Pradesh","PATOHAKOT,TULSIPUR,BALRAMPUR,Uttar Pradesh","PATOHAKOT,Uttar Pradesh,271208.0"
Patroguda,Odisha,NABARANGPUR,PAPADAHANDI,764071.0,"PATROGUDA,Odisha","PATROGUDA,NABARANGPUR,Odisha","PATROGUDA,PAPADAHANDI,Odisha","PATROGUDA,PAPADAHANDI,NABARANGPUR,Odisha","PATROGUDA,Odisha,764071.0"
Phampuni,Odisha,KORAPUT,JEYPORE,764005.0,"PHAMPUNI,Odisha","PHAMPUNI,KORAPUT,Odisha","PHAMPUNI,JEYPORE,Odisha","PHAMPUNI,JEYPORE,KORAPUT,Odisha","PHAMPUNI,Odisha,764005.0"
Pharchhahian,Bihar,SITAMARHI,SONBARSA,843330.0,"PHARCHHAHIAN,Bihar","PHARCHHAHIAN,SITAMARHI,Bihar","PHARCHHAHIAN,SONBARSA,Bihar","PHARCHHAHIAN,SONBARSA,SITAMARHI,Bihar","PHARCHHAHIAN,Bihar,843330.0"
Phulia Khand,Bihar,PASHCHIM CHAMPARAN,BAIRIA,845438.0,"PHULIA KHAND,Bihar","PHULIA KHAND,PASHCHIM CHAMPARAN,Bihar","PHULIA KHAND,BAIRIA,Bihar","PHULIA KHAND,BAIRIA,PASHCHIM CHAMPARAN,Bihar","PHULIA KHAND,Bihar,845438.0"
Phuljharia,Bihar,PASHCHIM CHAMPARAN,BAIRIA,845438.0,"PHULJHARIA,Bihar","PHULJHARIA,PASHCHIM CHAMPARAN,Bihar","PHULJHARIA,BAIRIA,Bihar","PHULJHARIA,BAIRIA,PASHCHIM CHAMPARAN,Bihar","PHULJHARIA,Bihar,845438.0"
Phulwaria,Bihar,PASHCHIM CHAMPARAN,RAMNAGAR,845453.0,"PHULWARIA,Bihar","PHULWARIA,PASHCHIM CHAMPARAN,Bihar","PHULWARIA,RAMNAGAR,Bihar","PHULWARIA,RAMNAGAR,PASHCHIM CHAMPARAN,Bihar","PHULWARIA,Bihar,845453.0"
Phulwariya,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207.0,"PHULWARIYA,Uttar Pradesh","PHULWARIYA,BALRAMPUR,Uttar Pradesh","PHULWARIYA,HARAIYA SATGHARWA,Uttar Pradesh","PHULWARIYA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","PHULWARIYA,Uttar Pradesh,271207.0"
Phupugam,Odisha,KORAPUT,KOTPAD,764056.0,"PHUPUGAM,Odisha","PHUPUGAM,KORAPUT,Odisha","PHUPUGAM,KOTPAD,Odisha","PHUPUGAM,KOTPAD,KORAPUT,Odisha","PHUPUGAM,Odisha,764056.0"
Pichhuli,Odisha,MAYURBHANJ,KARANJIA,757036.0,"PICHHULI,Odisha","PICHHULI,MAYURBHANJ,Odisha","PICHHULI,KARANJIA,Odisha","PICHHULI,KARANJIA,MAYURBHANJ,Odisha","PICHHULI,Odisha,757036.0"
Pilka,Jharkhand,PASHCHIMI SINGHBHUM,MANJHARI,833201.0,"PILKA,Jharkhand","PILKA,PASHCHIMI SINGHBHUM,Jharkhand","PILKA,MANJHARI,Jharkhand","PILKA,MANJHARI,PASHCHIMI SINGHBHUM,Jharkhand","PILKA,Jharkhand,833201.0"
Pipra Ghat,Bihar,SITAMARHI,SONBARSA,843332.0,"PIPRA GHAT,Bihar","PIPRA GHAT,SITAMARHI,Bihar","PIPRA GHAT,SONBARSA,Bihar","PIPRA GHAT,SONBARSA,SITAMARHI,Bihar","PIPRA GHAT,Bihar,843332.0"
Podapadar,Odisha,KORAPUT,BORIGUMMA,764057.0,"PODAPADAR,Odisha","PODAPADAR,KORAPUT,Odisha","PODAPADAR,BORIGUMMA,Odisha","PODAPADAR,BORIGUMMA,KORAPUT,Odisha","PODAPADAR,Odisha,764057.0"
Podapadi,Odisha,RAYAGADA,KASIPUR,765015.0,"PODAPADI,Odisha","PODAPADI,RAYAGADA,Odisha","PODAPADI,KASIPUR,Odisha","PODAPADI,KASIPUR,RAYAGADA,Odisha","PODAPADI,Odisha,765015.0"
Pooranpur,Uttar Pradesh,BALRAMPUR,TULSIPUR,271208.0,"POORANPUR,Uttar Pradesh","POORANPUR,BALRAMPUR,Uttar Pradesh","POORANPUR,TULSIPUR,Uttar Pradesh","POORANPUR,TULSIPUR,BALRAMPUR,Uttar Pradesh","POORANPUR,Uttar Pradesh,271208.0"
Poore Wakash,Uttar Pradesh,BALRAMPUR,TULSIPUR,271208.0,"POORE WAKASH,Uttar Pradesh","POORE WAKASH,BALRAMPUR,Uttar Pradesh","POORE WAKASH,TULSIPUR,Uttar Pradesh","POORE WAKASH,TULSIPUR,BALRAMPUR,Uttar Pradesh","POORE WAKASH,Uttar Pradesh,271208.0"
Pranpur,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207.0,"PRANPUR,Uttar Pradesh","PRANPUR,BALRAMPUR,Uttar Pradesh","PRANPUR,HARAIYA SATGHARWA,Uttar Pradesh","PRANPUR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","PRANPUR,Uttar Pradesh,271207.0"
Prayagwa,Bihar,PASHCHIM CHAMPARAN,JOGAPATTI,845452.0,"PRAYAGWA,Bihar","PRAYAGWA,PASHCHIM CHAMPARAN,Bihar","PRAYAGWA,JOGAPATTI,Bihar","PRAYAGWA,JOGAPATTI,PASHCHIM CHAMPARAN,Bihar","PRAYAGWA,Bihar,845452.0"
Premnagar,Uttar Pradesh,BALRAMPUR,TULSIPUR,271208.0,"PREMNAGAR,Uttar Pradesh","PREMNAGAR,BALRAMPUR,Uttar Pradesh","PREMNAGAR,TULSIPUR,Uttar Pradesh","PREMNAGAR,TULSIPUR,BALRAMPUR,Uttar Pradesh","PREMNAGAR,Uttar Pradesh,271208.0"
Pujariguda,Odisha,NABARANGPUR,UMERKOTE,764077.0,"PUJARIGUDA,Odisha","PUJARIGUDA,NABARANGPUR,Odisha","PUJARIGUDA,UMERKOTE,Odisha","PUJARIGUDA,UMERKOTE,NABARANGPUR,Odisha","PUJARIGUDA,Odisha,764077.0"
Pujariput,Odisha,KORAPUT,NANDAPUR,764038.0,"PUJARIPUT,Odisha","PUJARIPUT,KORAPUT,Odisha","PUJARIPUT,NANDAPUR,Odisha","PUJARIPUT,NANDAPUR,KORAPUT,Odisha","PUJARIPUT,Odisha,764038.0"
Purkapali,Odisha,SUNDERGARH,KUTRA,770018.0,"PURKAPALI,Odisha","PURKAPALI,SUNDERGARH,Odisha","PURKAPALI,KUTRA,Odisha","PURKAPALI,KUTRA,SUNDERGARH,Odisha","PURKAPALI,Odisha,770018.0"
Rabda,Jharkhand,PALAMU,NAWA BAZAR,822110.0,"RABDA,Jharkhand","RABDA,PALAMU,Jharkhand","RABDA,NAWA BAZAR,Jharkhand","RABDA,NAWA BAZAR,PALAMU,Jharkhand","RABDA,Jharkhand,822110.0"
Rabdi,Jharkhand,PALAMU,HARIHARGANJ,822113.0,"RABDI,Jharkhand","RABDI,PALAMU,Jharkhand","RABDI,HARIHARGANJ,Jharkhand","RABDI,HARIHARGANJ,PALAMU,Jharkhand","RABDI,Jharkhand,822113.0"
Rachaura,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271201.0,"RACHAURA,Uttar Pradesh","RACHAURA,BALRAMPUR,Uttar Pradesh","RACHAURA,BALRAMPUR,Uttar Pradesh","RACHAURA,BALRAMPUR,BALRAMPUR,Uttar Pradesh","RACHAURA,Uttar Pradesh,271201.0"
Raghunathpur,Bihar,SITAMARHI,MAJORGANJ,845454.0,"RAGHUNATHPUR,Bihar","RAGHUNATHPUR,SITAMARHI,Bihar","RAGHUNATHPUR,MAJORGANJ,Bihar","RAGHUNATHPUR,MAJORGANJ,SITAMARHI,Bihar","RAGHUNATHPUR,Bihar,845454.0"
Rahmatpur,Uttar Pradesh,BALRAMPUR,REHRA BAZAR,271307.0,"RAHMATPUR,Uttar Pradesh","RAHMATPUR,BALRAMPUR,Uttar Pradesh","RAHMATPUR,REHRA BAZAR,Uttar Pradesh","RAHMATPUR,REHRA BAZAR,BALRAMPUR,Uttar Pradesh","RAHMATPUR,Uttar Pradesh,271307.0"
Rain Bishuni,Bihar,SITAMARHI,RUNNI SAIDPUR,843328.0,"RAIN BISHUNI,Bihar","RAIN BISHUNI,SITAMARHI,Bihar","RAIN BISHUNI,RUNNI SAIDPUR,Bihar","RAIN BISHUNI,RUNNI SAIDPUR,SITAMARHI,Bihar","RAIN BISHUNI,Bihar,843328.0"
Raipur,Bihar,SITAMARHI,NANPUR,843326.0,"RAIPUR,Bihar","RAIPUR,SITAMARHI,Bihar","RAIPUR,NANPUR,Bihar","RAIPUR,NANPUR,SITAMARHI,Bihar","RAIPUR,Bihar,843326.0"
Rajabhar,Bihar,PASHCHIM CHAMPARAN,MAJHAULIA,845454.0,"RAJABHAR,Bihar","RAJABHAR,PASHCHIM CHAMPARAN,Bihar","RAJABHAR,MAJHAULIA,Bihar","RAJABHAR,MAJHAULIA,PASHCHIM CHAMPARAN,Bihar","RAJABHAR,Bihar,845454.0"
Rajaha,Jharkhand,PALAMU,CHHATARPUR,822113.0,"RAJAHA,Jharkhand","RAJAHA,PALAMU,Jharkhand","RAJAHA,CHHATARPUR,Jharkhand","RAJAHA,CHHATARPUR,PALAMU,Jharkhand","RAJAHA,Jharkhand,822113.0"
Rajghat,Bihar,PASHCHIM CHAMPARAN,BAIRIA,845438.0,"RAJGHAT,Bihar","RAJGHAT,PASHCHIM CHAMPARAN,Bihar","RAJGHAT,BAIRIA,Bihar","RAJGHAT,BAIRIA,PASHCHIM CHAMPARAN,Bihar","RAJGHAT,Bihar,845438.0"
Rajhara,Jharkhand,PALAMU,LESLIGANJ,822110.0,"RAJHARA,Jharkhand","RAJHARA,PALAMU,Jharkhand","RAJHARA,LESLIGANJ,Jharkhand","RAJHARA,LESLIGANJ,PALAMU,Jharkhand","RAJHARA,Jharkhand,822110.0"
Rajoda,Odisha,NABARANGPUR,KOSAGUMUDA,764061.0,"RAJODA,Odisha","RAJODA,NABARANGPUR,Odisha","RAJODA,KOSAGUMUDA,Odisha","RAJODA,KOSAGUMUDA,NABARANGPUR,Odisha","RAJODA,Odisha,764061.0"
Rakhikhurd,Jharkhand,PALAMU,SATBARWA,822126.0,"RAKHIKHURD,Jharkhand","RAKHIKHURD,PALAMU,Jharkhand","RAKHIKHURD,SATBARWA,Jharkhand","RAKHIKHURD,SATBARWA,PALAMU,Jharkhand","RAKHIKHURD,Jharkhand,822126.0"
Rakti,Jharkhand,DEOGHAR,SARWAN,814150.0,"RAKTI,Jharkhand","RAKTI,DEOGHAR,Jharkhand","RAKTI,SARWAN,Jharkhand","RAKTI,SARWAN,DEOGHAR,Jharkhand","RAKTI,Jharkhand,814150.0"
Ram Swarup Purwa,Uttar Pradesh,BALRAMPUR,TULSIPUR,236236.0,"RAM SWARUP PURWA,Uttar Pradesh","RAM SWARUP PURWA,BALRAMPUR,Uttar Pradesh","RAM SWARUP PURWA,TULSIPUR,Uttar Pradesh","RAM SWARUP PURWA,TULSIPUR,BALRAMPUR,Uttar Pradesh","RAM SWARUP PURWA,Uttar Pradesh,236236.0"
Ramgarh,Jharkhand,PALAMU,CHHATARPUR,822113.0,"RAMGARH,Jharkhand","RAMGARH,PALAMU,Jharkhand","RAMGARH,CHHATARPUR,Jharkhand","RAMGARH,CHHATARPUR,PALAMU,Jharkhand","RAMGARH,Jharkhand,822113.0"
Ramgarh Maitahwa,Uttar Pradesh,BALRAMPUR,TULSIPUR,271205.0,"RAMGARH MAITAHWA,Uttar Pradesh","RAMGARH MAITAHWA,BALRAMPUR,Uttar Pradesh","RAMGARH MAITAHWA,TULSIPUR,Uttar Pradesh","RAMGARH MAITAHWA,TULSIPUR,BALRAMPUR,Uttar Pradesh","RAMGARH MAITAHWA,Uttar Pradesh,271205.0"
Ramnagar Rasulpuraz,Bihar,SITAMARHI,SONBARSA,843330.0,"RAMNAGAR RASULPURAZ,Bihar","RAMNAGAR RASULPURAZ,SITAMARHI,Bihar","RAMNAGAR RASULPURAZ,SONBARSA,Bihar","RAMNAGAR RASULPURAZ,SONBARSA,SITAMARHI,Bihar","RAMNAGAR RASULPURAZ,Bihar,843330.0"
Rampur,Odisha,SUNDERGARH,BALISANKARA,845105.0,"RAMPUR,Odisha","RAMPUR,SUNDERGARH,Odisha","RAMPUR,BALISANKARA,Odisha","RAMPUR,BALISANKARA,SUNDERGARH,Odisha","RAMPUR,Odisha,845105.0"
Rampur,Uttar Pradesh,BALRAMPUR,TULSIPUR,845105.0,"RAMPUR,Uttar Pradesh","RAMPUR,BALRAMPUR,Uttar Pradesh","RAMPUR,TULSIPUR,Uttar Pradesh","RAMPUR,TULSIPUR,BALRAMPUR,Uttar Pradesh","RAMPUR,Uttar Pradesh,845105.0"
Rampur Khagaijot,Uttar Pradesh,BALRAMPUR,BALRAMPUR,271201.0,"RAMPUR KHAGAIJOT,Uttar Pradesh","RAMPUR KHAGAIJOT,BALRAMPUR,Uttar Pradesh","RAMPUR KHAGAIJOT,BALRAMPUR,Uttar Pradesh","RAMPUR KHAGAIJOT,BALRAMPUR,BALRAMPUR,Uttar Pradesh","RAMPUR KHAGAIJOT,Uttar Pradesh,271201.0"
Ramwapur,Uttar Pradesh,BALRAMPUR,PACHPERWA,271203.0,"RAMWAPUR,Uttar Pradesh","RAMWAPUR,BALRAMPUR,Uttar Pradesh","RAMWAPUR,PACHPERWA,Uttar Pradesh","RAMWAPUR,PACHPERWA,BALRAMPUR,Uttar Pradesh","RAMWAPUR,Uttar Pradesh,271203.0"
Ratanbigha,Jharkhand,PALAMU,HAIDARNAGAR,822115.0,"RATANBIGHA,Jharkhand","RATANBIGHA,PALAMU,Jharkhand","RATANBIGHA,HAIDARNAGAR,Jharkhand","RATANBIGHA,HAIDARNAGAR,PALAMU,Jharkhand","RATANBIGHA,Jharkhand,822115.0"
Ratanmala,Bihar,PASHCHIM CHAMPARAN,MAJHAULIA,845454.0,"RATANMALA,Bihar","RATANMALA,PASHCHIM CHAMPARAN,Bihar","RATANMALA,MAJHAULIA,Bihar","RATANMALA,MAJHAULIA,PASHCHIM CHAMPARAN,Bihar","RATANMALA,Bihar,845454.0"
Ratanpur,Bihar,SITAMARHI,MAJORGANJ,843315.0,"RATANPUR,Bihar","RATANPUR,SITAMARHI,Bihar","RATANPUR,MAJORGANJ,Bihar","RATANPUR,MAJORGANJ,SITAMARHI,Bihar","RATANPUR,Bihar,843315.0"
Ratanpur,Jharkhand,PALAMU,PANKI,843315.0,"RATANPUR,Jharkhand","RATANPUR,PALAMU,Jharkhand","RATANPUR,PANKI,Jharkhand","RATANPUR,PANKI,PALAMU,Jharkhand","RATANPUR,Jharkhand,843315.0"
Ratanpur,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,843315.0,"RATANPUR,Uttar Pradesh","RATANPUR,BALRAMPUR,Uttar Pradesh","RATANPUR,HARAIYA SATGHARWA,Uttar Pradesh","RATANPUR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","RATANPUR,Uttar Pradesh,843315.0"
Ratanwa,Uttar Pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207.0,"RATANWA,Uttar Pradesh","RATANWA,BALRAMPUR,Uttar Pradesh","RATANWA,HARAIYA SATGHARWA,Uttar Pradesh","RATANWA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh","RATANWA,Uttar Pradesh,271207.0"
Raypur,Bihar,SITAMARHI,RUNNI SAIDPUR,843117.0,"RAYPUR,Bihar","RAYPUR,SITAMARHI,Bihar","RAYPUR,RUNNI SAIDPUR,Bihar","RAYPUR,RUNNI SAIDPUR,SITAMARHI,Bihar","RAYPUR,Bihar,843117.0"
Rehra Chauki,Uttar Pradesh,BALRAMPUR,PACHPERWA,271206.0,"REHRA CHAUKI,Uttar Pradesh","REHRA CHAUKI,BALRAMPUR,Uttar Pradesh","REHRA CHAUKI,PACHPERWA,Uttar Pradesh","REHRA CHAUKI,PACHPERWA,BALRAMPUR,Uttar Pradesh","REHRA CHAUKI,Uttar Pradesh,271206.0"
Rela,Jharkhand,PASHCHIMI SINGHBHUM,GOELKERA,833103.0,"RELA,Jharkhand","RELA,PASHCHIMI SINGHBHUM,Jharkhand","RELA,GOELKERA,Jharkhand","RELA,GOELKERA,PASHCHIMI SINGHBHUM,Jharkhand","RELA,Jharkhand,833103.0"
Rengalbera,Jharkhand,PASHCHIMI SINGHBHUM,GOELKERA,833103.0,"RENGALBERA,Jharkhand","RENGALBERA,PASHCHIMI SINGHBHUM,Jharkhand","RENGALBERA,GOELKERA,Jharkhand","RENGALBERA,GOELKERA,PASHCHIMI SINGHBHUM,Jharkhand","RENGALBERA,Jharkhand,833103.0"
Rengali,Odisha,BOLANGIR,LOISINGHA,767022.0,"RENGALI,Odisha","RENGALI,BOLANGIR,Odisha","RENGALI,LOISINGHA,Odisha","RENGALI,LOISINGHA,BOLANGIR,Odisha","RENGALI,Odisha,767022.0"
Rengalpali,Odisha,KALAHANDI,KOKSARA,766019.0,"RENGALPALI,Odisha","RENGALPALI,KALAHANDI,Odisha","RENGALPALI,KOKSARA,Odisha","RENGALPALI,KOKSARA,KALAHANDI,Odisha","RENGALPALI,Odisha,766019.0"
